"Rank","Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","Overall"
"420","Davon Reed","IND","SG","-1.00","-0.99","-0.84","-0.76","-1.04","-0.02","-0.00","-0.82","1.21","-4.27"
"421","Eric Moreland","FA","PF","-1.01","-0.97","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.27"
"422","Johnathan Williams","LAL","F","-0.93","-0.83","-0.80","-0.55","-1.00","0.10","-0.29","-0.85","0.87","-4.28"
"423","George King","PHO","F","-1.01","-0.98","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.29"
"424","Vincent Edwards","HOU","F","-1.00","-0.98","-0.85","-0.76","-1.04","-0.04","-0.00","-0.82","1.21","-4.29"
"425","Timofey Mozgov","ORL","C","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"426","Yante Maten","MIA","F","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"427","Wenyen Gabriel","SAC","F","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"428","Joe Chealey","CHA","G","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"429","Donte Grantham","OKC","F","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"430","Zhaire Smith","PHI","SF,SG","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"431","Trevon Duval","MIL","G","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"432","Julian Washburn","MEM","G","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"433","Brandon Sampson","CHI","G","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"434","Bonzie Colson","MIL","F","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"435","Ray Spalding","DAL","F","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"436","Trevon Bluiett","NOR","G","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"437","Keenan Evans","FA","G","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"438","John Holland","FA","SG","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"439","Kristaps Porzingis","NYK","PF,C","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"440","R.J. Hunter","BOS","SG","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"441","Angel Delgado","LAC","C","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"442","Omer Asik","FA","PF,C","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"443","Kostas Antetokounmpo","DAL","SF,PF","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"444","Billy Preston","FA","F","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"445","Zach Randolph","SAC","PF,C","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"446","Stephan Hicks","FA","G","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"447","Ben Moore","SAS","SF","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"448","Andre Roberson","OKC","SG,SF","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"449","CJ Wilcox","FA","SG","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
"450","Isaiah Thomas","DEN","PG","-1.01","-0.99","-0.85","-0.76","-1.04","0.00","-0.00","-0.85","1.21","-4.30"
